student_id,minutes_watched,paid_in_q2
67,27.0333,0
560,1.2167,0
1520,2.1,0
1907,4.6833,0
2759,0.25,0
4408,43.6333,0
4819,2.75,0
7296,0.1,0
7815,1.95,0
8407,6.9833,0
8442,6.2667,0
9268,1.4,0
13830,2.05,0
13979,1.5667,0
16729,65.1833,0
17688,7.0167,0
19842,43.8167,0
21562,0.4,0
21703,46.8833,0
21736,1.4333,0
21796,0.05,0
24385,0.35,0
25548,2.6333,0
30623,6.2833,0
31770,83.5,0
32711,0.8,0
34175,48.8833,0
39845,0.0833,0
42902,25.4333,0
43214,41.35,0
43934,0.8,0
49094,0.4833,0
49389,25.95,0
51169,7.4167,0
60297,41.5833,0
62938,0.2667,0
72954,11.9333,0
72965,46.4667,0
75705,0.3833,0
76425,6.0333,0
77615,0.35,0
78575,4.3,0
87130,0.7667,0
88618,49.05,0
89658,0.2667,0
90920,139.65,0
93890,59.2667,0
97910,48.05,0
99728,0.3833,0
101532,1.5833,0
109146,43.7833,0
114289,15.8,0
120579,1.5833,0
121337,5.4333,0
121828,2.7833,0
123015,40.75,0
123523,0.6167,0
125372,3.4,0
126290,0.35,0
135752,1.25,0
140195,2.5333,0
140500,34.25,0
143621,35.85,0
143965,4.4833,0
144032,91.4667,0
145161,4.9167,0
145767,84.8833,0
147665,2.6833,0
148298,2.1,0
149235,0.35,0
150834,1.8667,0
151163,2.5333,0
153819,0.1333,0
153860,1.2167,0
154068,6.2,0
154100,17.8333,0
154664,20.8,0
156221,1.7833,0
158230,23.6333,0
158541,1.1,0
159802,0.2833,0
159848,38.45,0
159983,2.5833,0
160795,0.2667,0
161318,11.6667,0
161623,0.0667,0
161707,2.2,0
162357,0.3333,0
162549,19.8833,0
162566,23.0667,0
162703,42.15,0
163878,0.5167,0
163909,30.7333,0
164198,2.85,0
164617,3.25,0
164663,2.9833,0
165764,0.5333,0
166089,1.5,0
166257,1.75,0
166304,7.9,0
166597,1.3667,0
166699,124.8667,0
167685,1.0333,0
167874,0.15,0
168147,5.7,0
168545,7.6667,0
168684,2.95,0
168792,0.9167,0
169681,0.55,0
169764,44.7333,0
169909,23.9667,0
171213,3.0,0
171274,1.0667,0
171735,2.8167,0
172386,0.15,0
172407,0.6167,0
172544,3.9667,0
172761,10.2167,0
172979,43.6167,0
173687,39.4833,0
174034,1.8667,0
174547,3.0667,0
174549,0.1833,0
174573,0.1167,0
174665,0.0667,0
174949,0.1,0
174957,1.9,0
175111,0.9,0
175647,11.2,0
175987,1.0,0
176369,0.35,0
176396,25.1,0
176400,63.35,0
176610,18.1667,0
177245,0.3333,0
178140,35.0333,0
178204,0.2833,0
178454,0.1167,0
178479,3.5,0
179515,0.3,0
180325,0.4833,0
180823,14.6167,0
181079,1.3167,0
181099,2.1333,0
181286,0.1667,0
181352,3.3333,0
181438,20.2167,0
181563,5.1833,0
181605,10.6,0
181830,1.8667,0
183512,15.8,0
183867,0.2333,0
184118,0.6833,0
184196,28.9,0
185508,7.1667,0
185704,50.9,0
185768,3.6,0
186147,8.5,0
186409,5.5333,0
186626,0.6333,0
187082,24.9667,0
187587,1.0667,0
188012,0.5,0
189571,1.2,0
189878,8.5333,0
190055,4.35,0
191551,27.65,0
191632,0.1167,0
191702,3.1333,0
191879,0.6,0
192890,36.4833,0
193266,5.1,0
193587,0.4167,0
193805,0.2,0
194127,31.6833,0
195486,1.2,0
195688,0.2167,0
196224,1.2333,0
196591,10.8833,0
198334,1.2,0
198406,0.3,0
198702,110.8667,0
199761,0.05,0
200342,0.15,0
200471,3.7333,0
200579,47.2333,0
200820,91.85,0
201778,37.6667,0
201881,22.6333,0
201928,41.4167,0
202109,35.1,0
202137,1.5167,0
202546,68.2,0
202781,46.4667,0
203103,22.1,0
203189,4.5833,0
203259,37.15,0
204858,6.7,0
205122,4.8333,0
206241,1.5,0
207387,0.0667,0
207655,6.65,0
208165,0.2167,0
208249,3.1167,0
208364,2.7,0
208606,0.8,0
209263,89.9333,0
209592,0.4833,0
209963,1.5333,0
209967,1.3667,0
210012,1.5,0
210024,7.8667,0
210350,7.6667,0
210585,0.4,0
210861,3.65,0
210910,9.4333,0
211004,0.1167,0
211319,0.05,0
211370,0.45,0
211515,0.1333,0
211671,8.9,0
212157,2.9,0
212456,89.1667,0
212483,5.25,0
212860,2.2,0
212998,17.8333,0
213468,29.9833,0
213527,29.15,0
213529,28.8833,0
213613,26.2833,0
214287,0.1667,0
214519,133.9667,0
214939,1.3333,0
214959,60.9333,0
215021,0.1667,0
215342,4.3833,0
215419,0.6833,0
215907,43.1167,0
216283,8.95,0
216308,12.8333,0
217654,0.2833,0
219164,0.1,0
219344,0.0833,0
219477,11.0667,0
219739,0.7667,0
220508,2.2333,0
220586,7.3833,0
220772,8.5667,0
221232,1.2667,0
221418,4.5833,0
221547,0.1667,0
221992,30.05,0
222072,0.1667,0
222320,36.6333,0
222469,2.8833,0
222519,0.2833,0
222614,2.3,0
222849,0.1833,0
222920,20.5,0
222987,0.05,0
223540,0.1833,0
223855,47.1667,0
224291,11.85,0
224547,27.6667,0
224785,0.05,0
224905,11.0833,0
224955,8.3,0
225180,4.5,0
225806,0.1667,0
225818,0.0833,0
225883,0.55,0
225892,45.3667,0
226171,0.2667,0
227377,25.0333,0
227906,3.6333,0
228016,2.3,0
228508,6.6667,0
228614,6.5833,0
229524,91.8833,0
229738,0.2833,0
230540,15.0,0
230675,34.05,0
230977,5.0167,0
231474,0.85,0
232132,30.5333,0
232219,0.55,0
232700,12.9,0
233088,0.5333,0
233245,5.9167,0
233639,5.2333,0
234039,32.1167,0
234084,5.5833,0
234481,17.4833,0
234841,1.9167,0
235148,0.6167,0
235990,2.1833,0
236058,32.9667,0
236064,2.7833,0
236441,15.4667,0
236476,0.0833,0
237740,4.5,0
238426,8.1167,0
238865,18.5667,0
239133,28.8333,0
239322,0.4833,0
240107,0.1667,0
240377,5.3667,0
240753,1.3167,0
240874,10.3333,0
241053,41.65,0
241509,39.3833,0
241641,49.1333,0
241777,2.0167,0
241999,0.1167,0
242314,3.15,0
242397,76.0833,0
242930,0.1333,0
243274,19.3833,0
243528,1.1333,0
243557,0.0667,0
244629,27.5167,0
246423,7.4667,0
246952,0.1333,0
247688,36.2167,0
247775,59.3667,0
247903,25.1,0
248451,6.1333,0
249276,24.2333,0
249678,16.3667,0
249697,11.3833,0
249725,0.6333,0
250417,0.1667,0
250501,41.5667,0
250710,38.1,0
251389,2.2,0
251525,29.1,0
251696,42.9667,0
251725,64.4167,0
251855,0.5,0
251891,0.1,0
252870,5.85,0
253151,25.95,0
253166,1.6,0
253427,34.1333,0
253700,2.0167,0
254325,0.4167,0
254546,14.6333,0
255329,0.1,0
255892,8.55,0
256043,16.9667,0
256168,0.1667,0
256436,57.25,0
256548,0.5667,0
256704,1.8333,0
256737,1.5,0
256888,14.2833,0
257648,21.9333,0
257871,6.7333,0
258046,0.8333,0
258362,7.7667,0
258897,0.1,0
258915,3.3333,0
259418,11.8,0
259724,0.35,0
259762,18.9667,0
260334,14.0667,0
260750,75.0667,0
261261,1.05,0
261583,1.05,0
262363,0.1667,0
262566,0.0833,0
262886,1.2833,0
263156,11.6833,0
263438,25.0167,0
263722,0.65,0
264135,44.8167,0
264194,3.0667,0
264686,10.2667,0
264695,3.4167,0
264810,41.55,0
264828,89.9833,0
264831,132.0833,0
265037,0.5,0
265056,14.95,0
265273,3.6167,0
265362,33.9333,0
265731,1.4667,0
265958,0.4167,0
265969,76.5333,0
266029,9.3667,0
266038,0.6833,0
266065,61.5667,0
266176,1.0333,0
266315,57.4833,0
266397,6.9167,0
266447,73.2833,0
266481,8.0667,0
266795,3.1167,0
266814,0.0667,0
266829,29.3667,0
266924,0.9333,0
266945,4.0833,0
266986,0.2167,0
267007,34.3833,0
267138,0.7,0
267154,6.4667,0
267206,0.5167,0
267226,9.0667,0
267240,2.8,0
267293,48.6167,0
267516,1.65,0
267661,14.2667,0
267816,0.7167,0
267842,5.5167,0
267875,2.9833,0
267880,34.95,0
267937,17.6167,0
268033,4.6333,0
268061,4.25,0
268300,8.8,0
268315,0.0833,0
268359,19.8333,0
268444,136.6333,0
268620,51.0667,0
268639,2.1,0
268654,1.5167,0
268669,0.6,0
268678,66.5667,0
268734,0.8333,0
268761,5.5167,0
268820,12.1833,0
268916,11.1,0
268960,1.45,0
269023,46.8333,0
269028,26.1833,0
269099,5.3167,0
269109,1.2,0
269135,39.8,0
269143,18.4833,0
269169,13.3,0
269178,41.7333,0
269179,37.8667,0
269180,0.25,0
269186,141.85,0
269209,39.5333,0
269214,0.95,0
269215,0.2,0
269216,3.0,0
269218,45.1167,0
269231,2.25,0
269238,1.5333,0
269241,0.3667,0
269266,40.2667,0
269270,43.3167,0
269272,23.1833,0
269278,2.2667,0
269280,2.8667,0
269282,44.65,0
269312,17.2,0
269340,29.9333,0
269344,148.3333,0
269370,2.7333,0
269373,10.75,0
269378,0.3833,0
269400,13.7167,0
269435,42.3333,0
269438,0.05,0
269455,0.15,0
269486,6.65,0
269511,11.9167,0
269522,42.4,0
269537,1.4667,0
269547,0.2667,0
269553,45.15,0
269559,34.5333,0
269583,56.9,0
269591,0.7167,0
269593,60.9833,0
269607,21.2333,0
269615,1.6,0
269623,19.5167,0
269625,67.5333,0
269626,2.7,0
269634,3.9833,0
269638,29.8167,0
269660,2.25,0
269663,0.0667,0
269674,5.7,0
269676,18.7167,0
269709,1.1167,0
269711,95.55,0
269712,5.8667,0
269716,111.7833,0
269729,4.0667,0
269747,39.1167,0
269748,0.0667,0
269758,20.7,0
269761,10.3833,0
269772,44.3833,0
269773,7.05,0
269784,10.7,0
269786,0.05,0
269793,3.5167,0
269805,3.3667,0
269816,3.2333,0
269827,87.55,0
269852,2.5167,0
269853,3.6167,0
269869,0.4667,0
269879,5.1167,0
269887,0.15,0
269895,27.6667,0
269912,0.3167,0
269914,51.0833,0
269945,6.1333,0
269947,0.35,0
269951,0.3167,0
269957,0.8333,0
269966,65.3667,0
269971,2.0167,0
269988,5.7333,0
270004,16.1833,0
270013,1.95,0
